 (452, 'Awesome'),
 (483, 'Cool'),
 (16, 'Awesome'),
 (984, 'Excellent'),
 (null, 'Awesome'),
 (288, 'Cool'),
 (435, 'Awesome'),
 (519, 'Awesome'),
 (null, 'Awesome'),
 (431, 'Cool'),
 (293, 'Excellent'),
 (788, 'Cool'),
 (328, 'Cool'),
 (865, 'Cool'),
 (876, 'Excellent'),
 (null, 'Cool'),
 (788, 'Cool'),
 (490, 'Cool'),
 (807, 'Excellent'),
 (606, 'Excellent'),
 (186, 'Cool'),
 (875, 'Awesome'),
 (735, 'Excellent'),
 (87, 'Cool'),
 (898, 'Awesome'),
 (11, 'Cool'),
 (288, 'Excellent'),
 (602, 'Excellent'),
 (101, 'Cool'),
 (715, 'Cool'),
 (173, 'Awesome'),
 (921, 'Excellent'),
 (648, 'Excellent'),
 (null, 'Cool'),
 (87, 'Cool'),
 (null, 'Awesome'),
 (null, 'Cool'),
 (603, 'Awesome'),
 (811, 'Excellent'),
 (406, 'Excellent'),
 (null, 'Excellent'),
 (null, 'Cool'),
 (704, 'Excellent'),
 (153, 'Excellent'),
 (263, 'Awesome'),
 (591, 'Awesome'),
 (292, 'Cool'),
 (798, 'Awesome'),
 (457, 'Excellent'),
 (214, 'Cool'),
 (null, 'Excellent'),
 (502, 'Excellent'),
 (69, 'Cool'),
 (38, 'Cool'),
 (519, 'Cool'),
 (987, 'Excellent'),
 (null, 'Excellent'),
 (111, 'Excellent'),
 (77, 'Awesome'),
 (583, 'Cool'),
 (580, 'Cool'),
 (875, 'Excellent'),
 (null, 'Awesome'),
 (513, 'Excellent'),
 (757, 'Cool'),
 (758, 'Cool'),
 (297, 'Cool'),
 (null, 'Excellent'),
 (674, 'Excellent'),
 (821, 'Cool'),
 (687, 'Cool'),
 (261, 'Awesome'),
 (579, 'Cool'),
 (null, 'Excellent'),
 (118, 'Cool'),
 (null, 'Cool'),
 (170, 'Excellent'),
 (null, 'Excellent'),
 (515, 'Cool'),
 (82, 'Excellent'),
 (null, 'Awesome'),
 (429, 'Cool'),
 (133, 'Awesome'),
 (760, 'Cool'),
 (221, 'Cool'),
 (650, 'Awesome'),
 (290, 'Excellent'),
 (860, 'Excellent'),
 (190, 'Excellent'),
 (214, 'Awesome'),
 (850, 'Cool'),
 (null, 'Excellent'),
 (364, 'Awesome'),
 (null, 'Excellent'),
 (216, 'Awesome'),
 (null, 'Awesome'),
 (54, 'Excellent'),
 (712, 'Cool'),
 (246, 'Awesome'),
 (531, 'Cool'),
 (null, 'Cool'),
 (null, 'Awesome'),
 (832, 'Excellent'),
 (797, 'Excellent'),
 (270, 'Cool'),
 (null, 'Excellent'),
 (651, 'Cool'),
 (220, 'Excellent'),
 (364, 'Awesome'),
 (983, 'Awesome'),
 (null, 'Awesome'),
 (null, 'Awesome'),
 (167, 'Cool'),
 (400, 'Excellent'),
 (null, 'Excellent'),
 (128, 'Cool'),
 (723, 'Awesome'),
 (null, 'Cool'),
 (null, 'Awesome'),
 (null, 'Excellent'),
 (280, 'Cool'),
 (713, 'Cool'),
 (439, 'Awesome'),
 (158, 'Excellent'),
 (null, 'Excellent'),
 (983, 'Excellent'),
 (244, 'Awesome'),
 (540, 'Excellent'),
 (884, 'Excellent'),
 (201, 'Excellent'),
 (962, 'Cool'),
 (null, 'Cool'),
 (855, 'Awesome'),
 (null, 'Awesome'),
 (956, 'Cool'),
 (420, 'Excellent'),
 (754, 'Awesome'),
 (445, 'Awesome'),
 (242, 'Cool'),
 (129, 'Cool'),
 (474, 'Awesome'),
 (474, 'Excellent'),
 (668, 'Awesome'),
 (169, 'Awesome'),
 (85, 'Excellent'),
 (688, 'Awesome'),
 (975, 'Excellent'),
 (202, 'Awesome'),
 (39, 'Cool'),
 (521, 'Excellent'),
 (148, 'Cool'),
 (586, 'Excellent'),
 (164, 'Awesome'),
 (294, 'Cool'),
 (213, 'Excellent'),
 (389, 'Cool'),
 (753, 'Awesome'),
 (835, 'Cool'),
 (784, 'Awesome'),
 (641, 'Awesome'),
 (296, 'Awesome'),
 (960, 'Awesome'),
 (null, 'Awesome'),
 (641, 'Excellent'),
 (772, 'Cool'),
 (749, 'Cool'),
 (32, 'Awesome'),
 (497, 'Cool'),
 (715, 'Excellent'),
 (815, 'Awesome'),
 (507, 'Awesome'),
 (659, 'Awesome'),
 (30, 'Cool'),
 (108, 'Excellent'),
 (null, 'Excellent'),
 (172, 'Awesome'),
 (133, 'Cool'),
 (462, 'Excellent'),
 (390, 'Excellent'),
 (877, 'Excellent'),
 (194, 'Excellent'),
 (243, 'Cool'),
 (796, 'Awesome'),
 (null, 'Cool'),
 (404, 'Excellent'),
 (48, 'Excellent'),
 (null, 'Cool'),
 (848, 'Awesome'),
 (850, 'Awesome'),
 (200, 'Excellent'),
 (860, 'Excellent'),
 (521, 'Excellent'),
 (815, 'Cool'),
 (874, 'Cool'),
 (971, 'Excellent'),
 (642, 'Awesome'),
 (131, 'Awesome'),
 (263, 'Excellent'),
 (184, 'Awesome'),
 (168, 'Awesome'),
 (867, 'Awesome'),
 (null, 'Excellent'),
 (null, 'Excellent'),
 (949, 'Cool'),
 (561, 'Awesome'),
 (815, 'Excellent'),
 (492, 'Excellent'),
 (143, 'Cool'),
 (252, 'Awesome'),
 (276, 'Cool'),
 (425, 'Cool'),
 (165, 'Awesome'),
 (514, 'Awesome'),
 (260, 'Awesome'),
 (791, 'Cool'),
 (2, 'Awesome'),
 (null, 'Awesome'),
 (77, 'Cool'),
 (185, 'Excellent'),
 (81, 'Cool'),
 (null, 'Cool'),
 (963, 'Excellent'),
 (null, 'Awesome'),
 (842, 'Excellent'),
 (921, 'Excellent'),
 (929, 'Excellent'),
 (121, 'Cool'),
 (831, 'Cool'),
 (null, 'Excellent'),
 (380, 'Cool'),
 (631, 'Awesome'),
 (994, 'Awesome'),
 (351, 'Awesome'),
 (507, 'Cool'),
 (70, 'Excellent'),
 (637, 'Excellent'),
 (null, 'Excellent'),
 (null, 'Cool'),
 (330, 'Cool'),
 (null, 'Cool'),
 (607, 'Awesome'),
 (314, 'Awesome'),
 (46, 'Awesome'),
 (134, 'Awesome'),
 (528, 'Cool'),
 (null, 'Excellent'),
 (882, 'Awesome'),
 (674, 'Awesome'),
 (903, 'Awesome'),
 (197, 'Excellent'),
 (800, 'Excellent'),
 (196, 'Excellent'),
 (null, 'Excellent'),
 (null, 'Excellent'),
 (820, 'Excellent'),
 (46, 'Cool'),
 (887, 'Cool'),
 (872, 'Excellent'),
 (288, 'Excellent'),
 (939, 'Awesome'),
 (965, 'Awesome'),
 (null, 'Excellent'),
 (null, 'Cool'),
 (771, 'Cool'),
 (null, 'Cool'),
 (596, 'Excellent'),
 (187, 'Excellent'),
 (58, 'Awesome'),
 (408, 'Awesome'),
 (177, 'Awesome'),
 (333, 'Cool'),
 (469, 'Awesome'),
 (176, 'Awesome'),
 (212, 'Excellent'),
 (20, 'Awesome'),
 (617, 'Cool'),
 (269, 'Excellent'),
 (421, 'Awesome'),
 (376, 'Cool'),
 (null, 'Awesome'),
 (204, 'Awesome'),
 (411, 'Cool'),
 (176, 'Awesome'),
 (966, 'Excellent'),
 (634, 'Awesome'),
 (257, 'Excellent'),
 (952, 'Awesome'),
 (752, 'Cool'),
 (805, 'Awesome'),
 (null, 'Excellent'),
 (450, 'Cool'),
 (153, 'Awesome'),
 (574, 'Awesome'),
 (1000, 'Cool'),
 (662, 'Awesome'),
 (674, 'Cool'),
 (371, 'Cool'),
 (423, 'Cool'),
 (419, 'Cool'),
 (899, 'Cool'),
 (null, 'Cool'),
 (null, 'Awesome'),
 (null, 'Awesome'),
 (null, 'Awesome'),
 (674, 'Awesome'),
 (850, 'Cool'),
 (20, 'Awesome'),
 (111, 'Awesome'),
 (879, 'Awesome'),
 (null, 'Cool'),
 (77, 'Excellent'),
 (491, 'Cool'),
 (59, 'Cool'),
 (536, 'Awesome'),
 (212, 'Excellent'),
 (802, 'Excellent'),
 (571, 'Excellent'),
 (null, 'Excellent'),
 (144, 'Awesome'),
 (738, 'Excellent'),
 (null, 'Awesome'),
 (429, 'Excellent'),
 (116, 'Excellent'),
 (796, 'Awesome'),
 (null, 'Excellent'),
 (819, 'Cool'),
 (728, 'Excellent'),
 (680, 'Awesome'),
 (722, 'Excellent'),
 (947, 'Excellent'),
 (895, 'Excellent'),
 (306, 'Excellent'),
 (940, 'Excellent'),
 (723, 'Cool'),
 (10, 'Excellent'),
 (null, 'Awesome'),
 (null, 'Excellent'),
 (675, 'Excellent'),
 (114, 'Excellent'),
 (439, 'Awesome'),
 (870, 'Awesome'),
 (538, 'Excellent'),
 (706, 'Excellent'),
 (965, 'Excellent'),
 (null, 'Awesome'),
 (613, 'Excellent'),
 (63, 'Awesome'),
 (null, 'Awesome'),
 (133, 'Awesome'),
 (589, 'Cool'),
 (285, 'Cool'),
 (940, 'Cool'),
 (201, 'Excellent'),
 (725, 'Cool'),
 (245, 'Awesome'),
 (199, 'Excellent'),
 (332, 'Excellent'),
 (584, 'Cool'),
 (887, 'Cool'),
 (687, 'Cool'),
 (625, 'Awesome'),
 (748, 'Awesome'),
 (672, 'Excellent'),
 (644, 'Awesome'),
 (431, 'Excellent'),
 (80, 'Awesome'),
 (639, 'Excellent'),
 (163, 'Excellent'),
 (738, 'Awesome'),
 (642, 'Cool'),
 (314, 'Excellent'),
 (36, 'Cool'),
 (48, 'Excellent'),
 (null, 'Awesome'),
 (681, 'Cool'),
 (922, 'Excellent'),
 (378, 'Cool'),
 (360, 'Excellent'),
 (965, 'Excellent'),
 (483, 'Excellent'),
 (965, 'Awesome'),
 (null, 'Excellent'),
 (752, 'Awesome'),
 (13, 'Cool'),
 (860, 'Cool'),
 (225, 'Excellent'),
 (null, 'Cool'),
 (null, 'Excellent'),
 (398, 'Cool'),
 (139, 'Cool'),
 (724, 'Cool'),
 (343, 'Awesome'),
 (293, 'Excellent'),
 (86, 'Cool'),
 (null, 'Awesome'),
 (491, 'Excellent'),
 (605, 'Cool'),
 (993, 'Cool'),
 (null, 'Awesome'),
 (390, 'Excellent'),
 (666, 'Cool'),
 (365, 'Cool'),
 (null, 'Cool'),
 (69, 'Cool'),
 (575, 'Excellent'),
 (245, 'Excellent'),
 (553, 'Awesome'),
 (494, 'Cool'),
 (402, 'Awesome'),
 (630, 'Awesome'),
 (332, 'Cool'),
 (344, 'Awesome'),
 (860, 'Awesome'),
 (226, 'Cool'),
 (554, 'Excellent'),
 (658, 'Awesome'),
 (607, 'Awesome'),
 (183, 'Excellent'),
 (null, 'Cool'),
 (982, 'Excellent'),
 (278, 'Excellent'),
 (205, 'Awesome'),
 (647, 'Awesome'),
 (271, 'Cool'),
 (579, 'Awesome'),
 (659, 'Excellent'),
 (877, 'Awesome'),
 (596, 'Awesome'),
 (28, 'Cool'),
 (622, 'Cool'),
 (null, 'Cool'),
 (146, 'Excellent'),
 (870, 'Cool'),
 (438, 'Excellent'),
 (573, 'Excellent'),
 (34, 'Awesome'),
 (898, 'Awesome'),
 (521, 'Cool'),
 (910, 'Awesome'),
 (12, 'Excellent'),
 (345, 'Awesome'),
 (null, 'Cool'),
 (260, 'Cool'),
 (null, 'Cool'),
 (null, 'Excellent'),
 (571, 'Awesome'),
 (239, 'Awesome'),
 (741, 'Cool'),
 (304, 'Excellent'),
 (null, 'Awesome'),
 (488, 'Excellent'),
 (771, 'Awesome'),
 (199, 'Excellent'),
 (null, 'Cool'),
 (762, 'Awesome'),
 (360, 'Excellent'),
 (null, 'Excellent'),
 (112, 'Awesome'),
 (259, 'Awesome'),
 (520, 'Awesome'),
 (101, 'Cool'),
 (461, 'Cool'),
 (491, 'Awesome'),
 (95, 'Awesome'),
 (899, 'Cool'),
 (null, 'Awesome'),
 (93, 'Awesome'),
 (208, 'Excellent'),
 (544, 'Cool'),
 (735, 'Cool'),
 (457, 'Excellent'),
 (428, 'Excellent'),
 (325, 'Excellent'),
 (319, 'Cool'),
 (300, 'Cool'),
 (488, 'Awesome'),
 (null, 'Cool'),
 (586, 'Awesome'),
 (339, 'Excellent'),
 (405, 'Awesome'),
 (654, 'Awesome'),
 (425, 'Excellent'),
 (81, 'Cool'),
 (742, 'Excellent'),
 (986, 'Awesome'),
 (602, 'Awesome'),
 (802, 'Excellent'),
 (null, 'Awesome'),
 (414, 'Awesome'),
 (36, 'Awesome'),
 (345, 'Cool'),
 (936, 'Cool'),
 (433, 'Awesome'),
 (257, 'Cool'),
 (88, 'Excellent'),
 (766, 'Excellent'),
 (888, 'Cool'),
 (962, 'Awesome'),
 (656, 'Awesome'),
 (490, 'Excellent'),
 (742, 'Excellent'),
 (43, 'Cool'),
 (968, 'Awesome'),
 (null, 'Cool'),
 (760, 'Cool'),
 (6, 'Excellent'),
 (788, 'Excellent'),
 (609, 'Awesome'),
 (432, 'Awesome'),
 (null, 'Cool'),
 (998, 'Excellent'),
 (null, 'Excellent'),
 (280, 'Cool'),
 (621, 'Awesome'),
 (804, 'Awesome'),
 (719, 'Excellent'),
 (38, 'Cool'),
 (537, 'Excellent'),
 (915, 'Excellent'),
 (419, 'Excellent'),
 (513, 'Cool'),
 (866, 'Awesome'),
 (866, 'Cool'),
 (439, 'Cool'),
 (null, 'Cool'),
 (828, 'Awesome'),
 (429, 'Excellent'),
 (419, 'Excellent'),
 (711, 'Excellent'),
 (110, 'Excellent'),
 (660, 'Awesome'),
 (137, 'Excellent'),
 (391, 'Excellent'),
 (857, 'Awesome'),
 (48, 'Cool'),
 (865, 'Excellent'),
 (732, 'Awesome'),
 (525, 'Cool'),
 (935, 'Awesome'),
 (757, 'Awesome'),
 (870, 'Awesome'),
 (114, 'Excellent'),
 (174, 'Excellent'),
 (779, 'Excellent'),
 (null, 'Awesome'),
 (994, 'Cool'),
 (214, 'Awesome'),
 (71, 'Cool'),
 (468, 'Cool'),
 (741, 'Cool'),
 (976, 'Excellent'),
 (906, 'Excellent'),
 (774, 'Awesome'),
 (547, 'Awesome'),
 (223, 'Cool'),
 (161, 'Excellent'),
 (457, 'Excellent'),
 (null, 'Awesome'),
 (984, 'Awesome'),
 (927, 'Awesome'),
 (713, 'Cool'),
 (184, 'Excellent'),
 (683, 'Excellent'),
 (382, 'Awesome'),
 (null, 'Cool'),
 (80, 'Awesome'),
 (243, 'Excellent'),
 (null, 'Excellent'),
 (624, 'Excellent'),
 (null, 'Excellent'),
 (309, 'Awesome'),
 (842, 'Cool'),
 (782, 'Excellent'),
 (null, 'Awesome'),
 (null, 'Excellent'),
 (null, 'Cool'),
 (930, 'Awesome'),
 (879, 'Awesome'),
 (462, 'Awesome'),
 (821, 'Awesome'),
 (null, 'Cool'),
 (276, 'Excellent'),
 (617, 'Excellent'),
 (114, 'Cool'),
 (74, 'Cool'),
 (891, 'Cool'),
 (909, 'Cool'),
 (458, 'Cool'),
 (569, 'Awesome'),
 (394, 'Awesome'),
 (443, 'Cool'),
 (531, 'Excellent'),
 (24, 'Cool'),
 (117, 'Excellent'),
 (298, 'Excellent'),
 (407, 'Cool'),
 (717, 'Awesome'),
 (813, 'Awesome'),
 (92, 'Excellent'),
 (495, 'Cool'),
 (2, 'Cool'),
 (980, 'Awesome'),
 (673, 'Cool'),
 (null, 'Excellent'),
 (927, 'Cool'),
 (68, 'Cool'),
 (null, 'Awesome'),
 (510, 'Cool'),
 (978, 'Awesome'),
 (265, 'Cool'),
 (315, 'Cool'),
 (732, 'Excellent'),
 (641, 'Excellent'),
 (767, 'Awesome'),
 (394, 'Cool'),
 (null, 'Cool'),
 (509, 'Awesome'),
 (null, 'Cool'),
 (481, 'Awesome'),
 (70, 'Cool'),
 (402, 'Cool'),
 (477, 'Cool'),
 (807, 'Cool'),
 (262, 'Awesome'),
 (663, 'Cool'),
 (null, 'Excellent'),
 (null, 'Awesome'),
 (671, 'Cool'),
 (781, 'Cool'),
 (460, 'Excellent'),
 (292, 'Cool'),
 (735, 'Awesome'),
 (null, 'Awesome'),
 (59, 'Excellent'),
 (646, 'Excellent'),
 (null, 'Awesome'),
 (6, 'Awesome'),
 (869, 'Cool'),
 (893, 'Awesome'),
 (811, 'Awesome'),
 (906, 'Cool'),
 (133, 'Awesome'),
 (569, 'Excellent'),
 (208, 'Awesome'),
 (476, 'Excellent'),
 (767, 'Cool'),
 (978, 'Awesome'),
 (980, 'Awesome'),
 (null, 'Excellent'),
 (805, 'Cool'),
 (624, 'Awesome'),
 (405, 'Awesome'),
 (165, 'Awesome'),
 (null, 'Excellent'),
 (null, 'Awesome'),
 (null, 'Awesome'),
 (null, 'Cool'),
 (553, 'Cool'),
 (385, 'Excellent'),
 (null, 'Awesome'),
 (169, 'Cool'),
 (950, 'Cool'),
 (780, 'Excellent'),
 (47, 'Excellent'),
 (775, 'Cool'),
 (837, 'Excellent'),
 (533, 'Cool'),
 (243, 'Excellent'),
 (444, 'Awesome'),
 (null, 'Awesome'),
 (null, 'Awesome'),
 (847, 'Cool'),
 (null, 'Excellent'),
 (378, 'Awesome'),
 (246, 'Awesome'),
 (95, 'Awesome'),
 (693, 'Cool'),
 (500, 'Excellent'),
 (272, 'Cool'),
 (449, 'Cool'),
 (null, 'Awesome'),
 (557, 'Awesome'),
 (707, 'Excellent'),
 (293, 'Excellent'),
 (764, 'Awesome'),
 (227, 'Cool'),
 (76, 'Cool'),
 (858, 'Cool'),
 (963, 'Excellent'),
 (375, 'Excellent'),
 (null, 'Awesome'),
 (386, 'Cool'),
 (656, 'Cool'),
 (null, 'Awesome'),
 (895, 'Cool'),
 (null, 'Excellent'),
 (371, 'Cool'),
 (109, 'Cool'),
 (411, 'Awesome'),
 (666, 'Excellent'),
 (617, 'Cool'),
 (899, 'Cool'),
 (825, 'Excellent'),
 (728, 'Excellent'),
 (562, 'Cool'),
 (492, 'Awesome'),
 (35, 'Excellent'),
 (423, 'Awesome'),
 (332, 'Excellent'),
 (982, 'Excellent'),
 (479, 'Excellent'),
 (902, 'Excellent'),
 (811, 'Cool'),
 (935, 'Cool'),
 (905, 'Awesome'),
 (null, 'Excellent'),
 (934, 'Cool'),
 (337, 'Awesome'),
 (788, 'Awesome'),
 (341, 'Awesome'),
 (404, 'Awesome'),
 (684, 'Cool'),
 (793, 'Excellent'),
 (661, 'Awesome'),
 (null, 'Excellent'),
 (60, 'Awesome'),
 (906, 'Cool'),
 (829, 'Cool'),
 (456, 'Excellent'),
 (null, 'Awesome'),
 (null, 'Awesome'),
 (533, 'Awesome'),
 (171, 'Excellent'),
 (199, 'Excellent'),
 (857, 'Awesome'),
 (839, 'Excellent'),
 (44, 'Awesome'),
 (862, 'Cool'),
 (379, 'Awesome'),
 (594, 'Cool'),
 (null, 'Cool'),
 (25, 'Awesome'),
 (null, 'Cool'),
 (980, 'Cool'),
 (468, 'Cool'),
 (751, 'Cool'),
 (669, 'Cool'),
 (243, 'Excellent'),
 (37, 'Excellent'),
 (390, 'Awesome'),
 (531, 'Awesome'),
 (750, 'Awesome'),
 (260, 'Awesome'),
 (57, 'Awesome'),
 (null, 'Cool'),
 (541, 'Awesome'),
 (500, 'Excellent'),
 (40, 'Excellent'),
 (825, 'Excellent'),
 (872, 'Awesome'),
 (null, 'Awesome'),
 (814, 'Cool'),
 (null, 'Awesome'),
 (null, 'Cool'),
 (171, 'Cool'),
 (550, 'Cool'),
 (55, 'Cool'),
 (75, 'Excellent'),
 (726, 'Cool'),
 (null, 'Excellent'),
 (744, 'Cool'),
 (685, 'Cool'),
 (131, 'Awesome'),
 (722, 'Excellent'),
 (226, 'Excellent'),
 (626, 'Cool'),
 (879, 'Cool'),
 (403, 'Excellent'),
 (283, 'Awesome'),
 (null, 'Excellent'),
 (null, 'Awesome'),
 (29, 'Excellent'),
 (216, 'Excellent'),
 (339, 'Cool'),
 (905, 'Excellent'),
 (455, 'Cool'),
 (null, 'Cool'),
 (34, 'Awesome'),
 (863, 'Cool'),
 (125, 'Awesome'),
 (302, 'Awesome'),
 (259, 'Cool'),
 (904, 'Excellent'),
 (695, 'Excellent'),
 (null, 'Excellent'),
 (null, 'Cool'),
 (null, 'Cool'),
 (370, 'Cool'),
 (251, 'Awesome'),
 (509, 'Excellent'),
 (null, 'Excellent'),
 (97, 'Awesome'),
 (555, 'Cool'),
 (576, 'Awesome'),
 (710, 'Awesome'),
 (null, 'Awesome'),
 (840, 'Awesome'),
 (387, 'Excellent'),
 (28, 'Awesome'),
 (925, 'Cool'),
 (652, 'Excellent'),
 (458, 'Cool'),
 (212, 'Excellent'),
 (271, 'Cool'),
 (null, 'Excellent'),
 (159, 'Awesome'),
 (158, 'Excellent'),
 (706, 'Awesome'),
 (null, 'Awesome'),
 (976, 'Cool'),
 (57, 'Excellent'),
 (815, 'Cool'),
 (658, 'Cool'),
 (17, 'Awesome'),
 (836, 'Cool'),
 (868, 'Cool'),
 (null, 'Excellent'),
 (594, 'Excellent'),
 (170, 'Cool'),
 (200, 'Excellent'),
 (446, 'Excellent'),
 (782, 'Awesome'),
 (null, 'Awesome'),
 (438, 'Excellent'),
 (643, 'Awesome'),
 (null, 'Excellent'),
 (72, 'Cool'),
 (null, 'Excellent'),
 (439, 'Excellent'),
 (291, 'Excellent'),
 (229, 'Awesome'),
 (890, 'Awesome'),
 (300, 'Excellent'),
 (916, 'Excellent'),
 (664, 'Cool'),
 (803, 'Cool'),
 (352, 'Excellent'),
 (319, 'Awesome'),
 (null, 'Excellent'),
 (351, 'Awesome'),
 (593, 'Excellent'),
 (null, 'Awesome'),
 (92, 'Excellent'),
 (508, 'Excellent'),
 (562, 'Awesome'),
 (134, 'Awesome'),
 (117, 'Cool'),
 (null, 'Excellent'),
 (886, 'Excellent'),
 (628, 'Excellent'),
 (810, 'Cool'),
 (469, 'Cool'),
 (168, 'Awesome'),
 (150, 'Awesome'),
 (738, 'Awesome'),
 (988, 'Awesome'),
 (210, 'Excellent'),
 (792, 'Excellent'),
 (198, 'Excellent'),
 (null, 'Cool'),
 (979, 'Excellent'),
 (702, 'Cool'),
 (null, 'Cool'),
 (null, 'Excellent'),
 (236, 'Cool'),
 (null, 'Awesome'),
 (233, 'Awesome'),
 (367, 'Excellent'),
 (null, 'Cool'),
 (null, 'Excellent'),
 (429, 'Cool'),
 (755, 'Awesome'),
 (null, 'Awesome'),
 (null, 'Awesome'),
 (null, 'Excellent'),
 (302, 'Awesome'),
 (283, 'Cool'),
 (285, 'Excellent'),
 (117, 'Excellent'),
 (189, 'Awesome'),
 (959, 'Cool'),
 (null, 'Awesome'),
 (729, 'Cool'),
 (718, 'Excellent'),
 (null, 'Excellent'),
 (526, 'Excellent'),
 (201, 'Awesome'),
 (594, 'Cool'),
 (596, 'Awesome'),
 (885, 'Excellent'),
 (564, 'Cool'),
 (null, 'Excellent'),
 (null, 'Awesome'),
 (931, 'Awesome'),
 (17, 'Awesome'),
 (173, 'Cool'),
 (350, 'Excellent'),
 (563, 'Cool'),
 (625, 'Excellent'),
 (475, 'Awesome'),
 (933, 'Excellent'),
 (840, 'Awesome'),
 (563, 'Awesome'),
 (346, 'Excellent'),
 (777, 'Awesome'),
 (548, 'Excellent'),
 (643, 'Awesome'),
 (462, 'Cool'),
